Date,FIPS,Week,Dist_Total,Dist_Janssen,Dist_Moderna,Dist_Pfizer,Given_Total,Given_Janssen,Given_Moderna,Given_Pfizer
2021-10-26,54,43,3123975,131500,1243580,1748895,1587605,42182,703486,841521
2021-10-26,25,43,11667690,505000,4533800,6628890,10275420,343082,3854828,6077011
2021-10-26,17,43,19000955,932800,7080160,10987995,15703895,555867,5622890,9504642
2021-10-26,13,43,15381505,671300,6328820,8381385,11322900,282240,4444579,6585541
2021-10-26,20,43,4151605,210300,1673560,2267745,3281118,110197,1257420,1911907
2021-10-26,22,43,6082060,265800,2588620,3227640,4801994,163652,1954028,2682004
2021-10-26,50,43,1133310,62200,470900,600210,958888,44803,364942,548312
2021-10-26,24,43,10617120,482700,3960240,6174180,8414424,304143,3036694,5061413
2021-10-26,49,43,4280270,194800,1567540,2517930,3651697,150465,1318569,2182411
2021-10-26,16,43,2396700,125300,944980,1326420,1684715,68565,663924,949892
2021-10-26,31,43,2744840,124300,1020820,1599720,2304755,80573,830269,1388971
2021-10-26,41,43,7126045,378100,2813340,3934605,5543220,230197,2013510,3294922
2021-10-26,30,43,1438095,85100,602080,750915,1168708,48971,480324,638333
2021-10-26,37,43,15503720,748500,6087260,8667960,12143834,427803,4404920,7310363
2021-10-26,28,43,4021275,182800,1676300,2162175,2930327,74689,1182765,1670933
2021-10-26,1,43,7069650,319200,3141900,3608550,4779470,141441,2067258,2570620
2021-10-26,18,43,8903050,475600,3326280,5101170,7109839,260879,2549238,4274538
2021-10-26,34,43,14789125,715000,5659620,8414505,12132095,452774,4559059,7119888
2021-10-26,48,43,43892075,2147700,16867280,24877095,34033731,1270606,12700511,20060207
2021-10-26,35,43,3151915,151300,1302240,1698375,2777502,97351,1119007,1555484
2021-10-26,5,43,4326450,204200,1881160,2241090,3191594,101238,1340931,1746398
2021-10-26,40,43,5281030,263000,2288000,2730030,4412151,124482,1771729,2515068
2021-10-26,44,43,1796815,78800,705740,1012275,1538896,55054,566243,916651
2021-10-26,32,43,4257240,211100,1523260,2522880,3589453,156186,1241865,2191103
2021-10-26,26,43,14329880,721000,5866060,7742820,11287404,377771,4287997,6619958
2021-10-26,8,43,8770825,389900,3382700,4998225,7592935,279237,2909182,4398911
2021-10-26,56,43,717185,39100,325300,352785,561249,24475,242586,293675
2021-10-26,27,43,8441480,404900,3172380,4864200,7078894,300969,2533156,4242110
2021-10-26,2,43,1134615,73000,446480,615135,857746,36053,326205,494906
2021-10-26,33,43,2268450,131000,865660,1271790,1889321,94686,712734,1081838
2021-10-26,55,43,8072765,361300,3133300,4578165,7222746,281061,2700994,4239558
2021-10-26,38,43,998540,42500,389280,566760,799805,33628,301661,464217
2021-10-26,42,43,20498415,1189800,8239380,11069235,17296417,672577,6651540,9971188
2021-10-26,12,43,34728575,1870100,13434840,19423635,28188800,1234021,10356476,16495928
2021-10-26,9,43,6007045,281300,2373800,3351945,5318629,210128,1905369,3201746
2021-10-25,23,43,2302770,125200,949340,1228230,1919012,120525,750854,1046210
2021-10-25,44,43,1794565,78700,704760,1011105,1536391,55003,565206,915236
2021-10-25,28,43,4009685,182600,1672380,2154705,2930327,74689,1182765,1670933
2021-10-25,37,43,15385870,728900,5994860,8662110,12122081,427529,4394004,7299800
2021-10-25,32,43,4254060,210700,1520480,2522880,3580718,156092,1239139,2185188
2021-10-25,45,43,7398485,360600,3128300,3909585,5614897,185848,2123303,3304233
2021-10-25,49,43,4278230,194300,1566000,2517930,3641273,150342,1317456,2173223
2021-10-25,9,43,5979585,280200,2367780,3331605,5310937,209983,1901672,3197896
2021-10-25,29,43,8275355,341300,3219540,4714515,6672934,211675,2336522,4122518
2021-10-25,40,43,5266460,262700,2286600,2717160,4405452,124461,1768336,2511783
2021-10-25,30,43,1435885,84900,601240,749745,1158737,48801,478209,630657
2021-10-25,36,43,31361205,1466900,11761060,18133245,27199492,1161876,9889618,16137605
